productId,productName,category,stock,expiryDate,currentPrice,predictedDemand
PROD001,Organic Bananas,Produce,45,2025-01-17,2.99,32
PROD002,Greek Yogurt 32oz,Dairy,28,2025-01-19,5.49,25
PROD003,Rotisserie Chicken,Deli,12,2025-01-16,4.98,8
PROD004,Strawberries 1lb,Produce,67,2025-01-18,3.99,23
PROD005,Whole Milk Gallon,Dairy,89,2025-01-22,3.79,78
PROD006,Caesar Salad Kit,Produce,34,2025-01-20,2.49,28
PROD007,Fresh Salmon Fillet,Seafood,15,2025-01-16,12.99,10
PROD008,Artisan Bread Loaf,Bakery,22,2025-01-17,4.49,18
PROD009,Organic Spinach,Produce,41,2025-01-18,3.29,35
PROD010,Deli Turkey Slices,Deli,19,2025-01-19,7.99,15